"SampleID","Pot","Intensity","Frequency","Composition","N","H","PC1","PC2","Category"
"WH59-B-M","Pot-59","Wet","High","Heterospecific",44,12.58,1.02047505271862,1.73315014518942,"Root"
"WH60-B-M","Pot-60","Wet","High","Heterospecific",45,9.9,2.73413617073551,2.26397876336043,"Root"
"DL61-B-S","Pot-61","Dry","Low","Conspecific",40,8.82,-0.0545359619498301,-1.1993144354628,"Root"
"DL62-B-S","Pot-62","Dry","Low","Conspecific",38,11.46,-0.483277371148246,-1.04773428292356,"Root"
"DL63-B-S","Pot-63","Dry","Low","Conspecific",46,8.42,1.04175719225627,-0.942859695939613,"Root"
"DL64-B-S","Pot-64","Dry","Low","Conspecific",47,8.7,1.1324411767895,-0.702337263808172,"Root"
"DL65-B-S","Pot-65","Dry","Low","Conspecific",25,10.5,-2.08272279173905,-0.937677682517112,"Root"
"DL66-B-S","Pot-66","Dry","Low","Conspecific",32,12.48,-0.716442664608613,0.658088565025556,"Root"
"DL67-B-S","Pot-67","Dry","Low","Conspecific",29,10.06,2.23750422491848,-0.476947643844802,"Root"
"DL68-B-S","Pot-68","Dry","Low","Conspecific",38,10.74,1.83337295153823,-1.69287062937847,"Root"
"DL69-B-S","Pot-69","Dry","Low","Conspecific",36,9.54,-2.37476812877151,-1.82541894430125,"Root"
"DL70-B-S","Pot-70","Dry","Low","Conspecific",37,9.34,0.108325096694219,0.501877687698152,"Root"
"DL81-B-M","Pot-81","Dry","Low","Heterospecific",25,8.82,-0.266311161979673,-2.14816103811478,"Root"
"DL82-B-M","Pot-82","Dry","Low","Heterospecific",26,9.98,0.987468269677002,-3.0637326924117,"Root"
"DL83-B-M","Pot-83","Dry","Low","Heterospecific",31,8.96,2.09686370159182,-1.49288051354104,"Root"
"DL84-B-M","Pot-84","Dry","Low","Heterospecific",21,12.22,2.41846883297929,-3.91444614903791,"Root"
"DL85-B-M","Pot-85","Dry","Low","Heterospecific",32,7.58,1.22559556056405,-1.74121645387995,"Root"
"DL86-B-M","Pot-86","Dry","Low","Heterospecific",33,6.86,-1.02937985453493,-0.666646958655131,"Root"
"DL87-B-M","Pot-87","Dry","Low","Heterospecific",26,8.38,1.0694368398814,-2.28442526289893,"Root"
"DL88-B-M","Pot-88","Dry","Low","Heterospecific",14,11.05,2.64388193125315,-1.46987168414433,"Root"
"DL89-B-M","Pot-89","Dry","Low","Heterospecific",10,11.9,0.75075759735814,-1.61142148421272,"Root"
"DL90-B-M","Pot-90","Dry","Low","Heterospecific",26,8.26,1.69936429979146,-1.74112326878854,"Root"
"DH96-B-S","Pot-96","Dry","High","Conspecific",25,9.22,0.477215952945791,-0.55696022067752,"Root"
"DH97-B-S","Pot-97","Dry","High","Conspecific",19,12.8,0.0350543525999264,0.0354671323447119,"Root"
"DH98-B-S","Pot-98","Dry","High","Conspecific",15,15.5,-5.2144496412337,-2.70507388686593,"Root"
"DH114-B-M","Pot-114","Dry","High","Heterospecific",28,10.32,-1.41514091131421,-1.44073446162544,"Root"
"DH117-B-M","Pot-117","Dry","High","Heterospecific",28,10.9,-0.0707894308150125,-0.983170884522014,"Root"
"DH119-B-M","Pot-119","Dry","High","Heterospecific",22,7.78,0.0524535535522467,-1.09436691298543,"Root"
"WL1-B-S","Pot-1","Wet","Low","Conspecific",35,16.84,0.851243744574333,0.936689378010616,"Fitness"
"WL2-B-S","Pot-2","Wet","Low","Conspecific",54,13.34,-0.000547697182742259,0.261822493640002,"Fitness"
"WL3-B-S","Pot-3","Wet","Low","Conspecific",52,15.96,0.669132130650937,1.00684750057772,"Fitness"
"WL4-B-S","Pot-4","Wet","Low","Conspecific",57,16.32,-0.297685787803919,0.249686788527475,"Fitness"
"WL5-B-S","Pot-5","Wet","Low","Conspecific",51,12.38,-0.260392558221918,0.652748270808297,"Fitness"
"WL6-B-S","Pot-6","Wet","Low","Conspecific",69,11.98,-0.730486908705578,-0.988663317678526,"Fitness"
"WL7-B-S","Pot-7","Wet","Low","Conspecific",57,13.62,0.0562262877083407,0.423946764042749,"Fitness"
"WL8-B-S","Pot-8","Wet","Low","Conspecific",46,14.96,-0.152239990155748,0.334079008741681,"Fitness"
"WL9-B-S","Pot-9","Wet","Low","Conspecific",55,12.86,0.619592404595159,0.649277319714772,"Fitness"
"WL10-B-S","Pot-10","Wet","Low","Conspecific",52,11.92,-0.061910825813065,0.421891584740669,"Fitness"
"WL21-B-M","Pot-21","Wet","Low","Heterospecific",30,17.15,1.97497537811167,-0.721798089063823,"Fitness"
"WL22-B-M","Pot-22","Wet","Low","Heterospecific",40,15.18,-1.97217444224946,0.0871533425143335,"Fitness"
"WL23-B-M","Pot-23","Wet","Low","Heterospecific",20,10.52,-0.645501167188748,0.754556440280658,"Fitness"
"WL24-B-M","Pot-24","Wet","Low","Heterospecific",38,11.1,-2.12174386190931,0.117968384382777,"Fitness"
"WL25-B-M","Pot-25","Wet","Low","Heterospecific",29,14.76,-1.62226386413425,0.408944895728436,"Fitness"
"WL26-B-M","Pot-26","Wet","Low","Heterospecific",33,9.52,-1.42199413387837,0.411020251837024,"Fitness"
"WL27-B-M","Pot-27","Wet","Low","Heterospecific",44,10.76,-2.76908747629011,0.0375994181815695,"Fitness"
"WL28-B-M","Pot-28","Wet","Low","Heterospecific",50,9.64,-2.69283273608995,-0.0412135232937575,"Fitness"
"WL29-B-M","Pot-29","Wet","Low","Heterospecific",20,10.46,-0.49805462084205,0.76518287164545,"Fitness"
"WL30-B-M","Pot-30","Wet","Low","Heterospecific",38,13.46,-2.88477527247619,0.11189093577882,"Fitness"
"WH31-B-S","Pot-31","Wet","High","Conspecific",61,11.32,-0.79799144955168,0.222628937615547,"Fitness"
"WH32-B-S","Pot-32","Wet","High","Conspecific",41,12.34,0.263529199902017,0.504151847222832,"Fitness"
"WH33-B-S","Pot-33","Wet","High","Conspecific",38,13.42,1.06549120399425,0.537418058223076,"Fitness"
"WH34-B-S","Pot-34","Wet","High","Conspecific",38,11.34,0.820245461785686,0.391227037502387,"Fitness"
"WH35-B-S","Pot-35","Wet","High","Conspecific",57,11.62,-0.451949522726881,0.213272291113645,"Fitness"
"WH36-B-S","Pot-36","Wet","High","Conspecific",49,14.24,0.130610880369986,0.27267463444826,"Fitness"
"WH37-B-S","Pot-37","Wet","High","Conspecific",44,11.32,-0.00883491612924325,0.299439848132068,"Fitness"
